## Struture of FADC Mapping table.
##
## "-1" : no matching FADC board & channel
##------------------------------------------------------------
##                   |     High gain     |     Low gain      |
##        PMT        |       FADC        |       FADC        |
## ID | row | colume | Board# | Channel# | Board# | Channel# |

## Barrel 
0	1	2	4	1	16	1
1	1	4	4	2	16	2
2	1	6	4	3	16	3
3	1	8	4	4	16	4
4	1	10	4	5	16	5
5	1	12	3	3	15	3
6	1	14	3	4	15	4
7	1	16	3	5	15	5
8	1	18	5	0	17	0
9	1	20	5	1	17	1
10	1	22	4	6	16	6
11	1	24	4	7	16	7
12	2	2	6	0	18	0
13	2	4	6	1	18	1
14	2	6	6	2	18	2
15	2	8	1	6	13	6
16	2	10	1	7	13	7
17	2	12	7	0	19	0
18	2	14	7	1	19	1
19	2	16	7	2	19	2
20	2	18	7	3	19	3
21	2	20	7	4	19	4
22	2	22	7	5	19	5
23	2	24	7	6	19	6
24	3	2	5	2	17	2
25	3	4	5	3	17	3
26	3	6	5	4	17	4
27	3	8	8	0	20	0
28	3	10	9	0	21	0
29	3	12	9	1	21	1
30	3	14	3	6	15	6
31	3	16	3	7	15	7
32	3	18	7	7	19	7
33	3	20	5	5	17	5
34	3	22	5	6	17	6
35	3	24	5	7	17	7
36	4	2	6	3	18	3
37	4	4	6	4	18	4
38	4	6	6	5	18	5
39	4	8	6	6	18	6
40	4	10	6	7	18	7
41	4	12	10	0	22	0
42	4	14	10	1	22	1
43	4	16	10	2	22	2
44	4	18	10	3	22	3
45	4	20	10	4	22	4
46	4	22	10	5	22	5
47	4	24	10	6	22	6
48	5	2	8	1	20	1
49	5	4	8	2	20	2
50	5	6	8	3	20	3
51	5	8	8	4	20	4
52	5	10	9	2	21	2
53	5	12	9	3	21	3
54	5	14	9	4	21	4
55	5	16	9	5	21	5
56	5	18	10	7	22	7
57	5	20	8	5	20	5
58	5	22	8	6	20	6
59	5	24	8	7	20	7
## TOP Inner
60	6	1	1	0	13	0
61	6	2	1	1	13	1
62	6	3	1	2	13	2
63	6	4	1	3	13	3
64	6	5	3	0	15	0
65	6	6	1	4	13	4
66	6	7	2	0	14	0
67	6	8	2	1	14	1
68	6	9	2	2	14	2
69	6	10	1	5	13	5
70	6	11	4	0	16	0
71	6	12	2	3	14	3
72	6	13	2	4	14	4
73	6	14	3	1	15	1
74	6	15	3	2	15	2
75	6	16	2	5	14	5
76	6	17	2	6	14	6
77	6	18	2	7	14	7
## BOTTOM Inner
78	7	1	12	0	24	0
79	7	2	12	1	24	1
80	7	3	12	2	24	2
81	7	4	12	3	24	3
82	7	5	12	4	24	4
83	7	6	12	5	24	5
84	7	7	11	0	23	0
85	7	8	11	1	23	1
86	7	9	11	2	23	2
87	7	10	11	3	23	3
88	7	11	11	4	23	4
89	7	12	9	6	21	6
90	7	13	9	7	21	7
91	7	14	12	6	24	6
92	7	15	12	7	24	7
93	7	16	11	5	23	5
94	7	17	11	6	23	6
95	7	18	11	7	23	7
## TOP VETO
96	8	1	25	0   -1	-1	
97	8	3	25	1   -1	-1	
98	8	5	25	2   -1	-1	
99	8	7	25	3   -1	-1	
100	8	9	25	4   -1	-1	
101	8	11	25	5   -1	-1	
102	8	13	25	6   -1	-1	
103	8	15	25	7   -1	-1	
104	8	17	26	0   -1	-1	
105	8	19	26	1   -1	-1	
106	8	21	26	2   -1	-1	
107	8	23	26	3   -1	-1	
## BOTTOM VETO
108	9	1	26	4	-1	-1	
109	9	3	26	5	-1	-1	
110	9	5	26	6	-1	-1	
111	9	7	26	7	-1	-1	
112	9	9	27	0	-1	-1	
113	9	11	27	1	-1	-1	
114	9	13	27	2	-1	-1	
115	9	15	27	3	-1	-1	
116	9	17	27	4	-1	-1	
117	9	19	27	5	-1	-1	
118	9	21	27	6	-1	-1	
119	9	23	27	7	-1	-1	
